CVE_ID,Description,Cause1,Cause2,Location,Version,Attacker,Operation,Consequence
CVE-2012-3511,Multiple race conditions in the madvise_remove function in mm/madvise.c in the Linux kernel before 3.4.5 allow local users to cause a denial of service (use-after-free and system crash) via vectors involving a (1) munmap or (2) close system call.,Multiple race conditions,,the madvise_remove function in mm/madvise.c,the Linux kernel before 3.4.5,local users,vectors involving a (1) munmap or (2) close system call,a denial of service (use-after-free and system crash)
CVE-2012-4553,"Drupal 7.x before 7.16 allows remote attackers to obtain sensitive information and possibly re-install Drupal and execute arbitrary PHP code via an external database server, related to ""transient conditions.""",,,,Drupal 7.x before 7.16,remote attackers,an external database server,obtain sensitive information and possibly re-install Drupal and execute arbitrary PHP code
CVE-2020-11086,"In FreeRDP less than or equal to 2.0.0, there is an out-of-bound read in ntlm_read_ntlm_v2_client_challenge that reads up to 28 bytes out-of-bound to an internal structure. This has been fixed in 2.1.0.",an out-of-bound read,,ntlm_read_ntlm_v2_client_challenge,FreeRDP less than or equal to 2.0.0,,,reads up to 28 bytes out-of-bound to an internal structure
CVE-2014-8986,"Cross-site scripting (XSS) vulnerability in the selection list in the filters in the Configuration Report page (adm_config_report.php) in MantisBT 1.2.13 through 1.2.17 allows remote administrators to inject arbitrary web script or HTML via a crafted config option, a different vulnerability than CVE-2014-8987.",Cross-site scripting (XSS) vulnerability,,the selection list in the filters in the Configuration Report page (adm_config_report.php),MantisBT 1.2.13 through 1.2.17,remote administrators,a crafted config option,inject arbitrary web script or HTML
CVE-2018-14465,The RSVP parser in tcpdump before 4.9.3 has a buffer over-read in print-rsvp.c:rsvp_obj_print().,a buffer over-read,,The RSVP parser,tcpdump before 4.9.3,,,
CVE-2020-15266,"In Tensorflow before version 2.4.0, when the `boxes` argument of `tf.image.crop_and_resize` has a very large value, the CPU kernel implementation receives it as a C++ `nan` floating point value. Attempting to operate on this is undefined behavior which later produces a segmentation fault. The issue is patched in eccb7ec454e6617738554a255d77f08e60ee0808 and TensorFlow 2.4.0 will be released containing the patch. TensorFlow nightly packages after this commit will also have the issue resolved.",the CPU kernel implementation receives it as a C++ `nan` floating point value,,,Tensorflow before version 2.4.0,,,Attempting to operate on this is undefined behavior which later produces a segmentation fault
CVE-2019-3826,"A stored, DOM based, cross-site scripting (XSS) flaw was found in Prometheus before version 2.7.1. An attacker could exploit this by convincing an authenticated user to visit a crafted URL on a Prometheus server, allowing for the execution and persistent storage of arbitrary scripts.","A stored, DOM based, cross-site scripting (XSS) flaw",,,Prometheus before version 2.7.1,,convincing an authenticated user to visit a crafted URL on a Prometheus server,the execution and persistent storage of arbitrary scripts
CVE-2017-2606,"Jenkins before versions 2.44, 2.32.2 is vulnerable to an information exposure in the internal API that allows access to item names that should not be visible (SECURITY-380). This only affects anonymous users (other users legitimately have access) that were able to get a list of items via an UnprotectedRootAction.",an information exposure,,the internal API,"Jenkins before versions 2.44, 2.32.2",anonymous users (other users legitimately have access),an UnprotectedRootAction,access to item names that should not be visible (SECURITY-380)
CVE-2018-14358,An issue was discovered in Mutt before 1.10.1 and NeoMutt before 2018-07-16. imap/message.c has a stack-based buffer overflow for a FETCH response with a long RFC822.SIZE field.,a stack-based buffer overflow,,imap/message.c,Mutt before 1.10.1 and NeoMutt before 2018-07-16,,,
CVE-2016-8649,"lxc-attach in LXC before 1.0.9 and 2.x before 2.0.6 allows an attacker inside of an unprivileged container to use an inherited file descriptor, of the host's /proc, to access the rest of the host's filesystem via the openat() family of syscalls.",,,,lxc-attach in LXC before 1.0.9 and 2.x before 2.0.6,,the openat() family of syscalls,"inside of an unprivileged container to use an inherited file descriptor, of the host's /proc, to access the rest of the host's filesystem"
CVE-2019-20910,"An issue was discovered in GNU LibreDWG through 0.9.3. Crafted input will lead to a heap-based buffer over-read in decode_R13_R2000 in decode.c, a different vulnerability than CVE-2019-20011.",,,decode_R13_R2000 in decode.c,GNU LibreDWG through 0.9.3,,Crafted input,a heap-based buffer over-read
CVE-2015-2672,"The xsave/xrstor implementation in arch/x86/include/asm/xsave.h in the Linux kernel before 3.19.2 creates certain .altinstr_replacement pointers and consequently does not provide any protection against instruction faulting, which allows local users to cause a denial of service (panic) by triggering a fault, as demonstrated by an unaligned memory operand or a non-canonical address memory operand.",creates certain .altinstr_replacement pointers and consequently does not provide any protection against instruction faulting,,The xsave/xrstor implementation in arch/x86/include/asm/xsave.h,the Linux kernel before 3.19.2,local users,"triggering a fault, as demonstrated by an unaligned memory operand or a non-canonical address memory operand",a denial of service (panic)
CVE-2016-2177,"OpenSSL through 1.0.2h incorrectly uses pointer arithmetic for heap-buffer boundary checks, which might allow remote attackers to cause a denial of service (integer overflow and application crash) or possibly have unspecified other impact by leveraging unexpected malloc behavior, related to s3_srvr.c, ssl_sess.c, and t1_lib.c.",incorrectly uses pointer arithmetic for heap-buffer boundary checks,,,OpenSSL through 1.0.2h,remote attackers,"leveraging unexpected malloc behavior, related to s3_srvr.c, ssl_sess.c, and t1_lib.c",a denial of service (integer overflow and application crash) or possibly have unspecified other impact
CVE-2020-12102,"In Tiny File Manager 2.4.1, there is a Path Traversal vulnerability in the ajax recursive directory listing functionality. This allows authenticated users to enumerate directories and files on the filesystem (outside of the application scope).",a Path Traversal vulnerability,,the ajax recursive directory listing functionality,Tiny File Manager 2.4.1,authenticated users,,enumerate directories and files on the filesystem (outside of the application scope)
CVE-2016-4849,"Multiple cross-site scripting (XSS) vulnerabilities in Geeklog IVYWE edition 2.1.1 allow remote attackers to inject arbitrary web script or HTML by leveraging use of the COM_getCurrentURL function in (1) public_html/layout/default/header.thtml, (2) public_html/layout/bento/header.thtml, (3) public_html/layout/fotos/header.thtml, or (4) public_html/layout/default/article/article.thtml.",Multiple cross-site scripting (XSS) vulnerabilities,,,Geeklog IVYWE edition 2.1.1,remote attackers,"leveraging use of the COM_getCurrentURL function in (1) public_html/layout/default/header.thtml, (2) public_html/layout/bento/header.thtml, (3) public_html/layout/fotos/header.thtml, or (4) public_html/layout/default/article/article.thtml",inject arbitrary web script or HTML
CVE-2012-4393,"Multiple cross-site request forgery (CSRF) vulnerabilities in ownCloud before 4.0.6 allow remote attackers to hijack the authentication of arbitrary users for requests that use (1) addBookmark.php, (2) delBookmark.php, or (3) editBookmark.php in bookmarks/ajax/; (4) calendar/delete.php, (5) calendar/edit.php, (6) calendar/new.php, (7) calendar/update.php, (8) event/delete.php, (9) event/edit.php, (10) event/move.php, (11) event/new.php, (12) import/import.php, (13) settings/setfirstday.php, (14) settings/settimeformat.php, (15) share/changepermission.php, (16) share/share.php, (17) or share/unshare.php in calendar/ajax/; (18) external/ajax/setsites.php, (19) files/ajax/delete.php, (20) files/ajax/move.php, (21) files/ajax/newfile.php, (22) files/ajax/newfolder.php, (23) files/ajax/rename.php, (24) files_sharing/ajax/email.php, (25) files_sharing/ajax/setpermissions.php, (26) files_sharing/ajax/share.php, (27) files_sharing/ajax/toggleresharing.php, (28) files_sharing/ajax/togglesharewitheveryone.php, (29) files_sharing/ajax/unshare.php, (30) files_texteditor/ajax/savefile.php, (31) files_versions/ajax/rollbackVersion.php, (32) gallery/ajax/createAlbum.php, (33) gallery/ajax/sharing.php, (34) tasks/ajax/addtask.php, (35) tasks/ajax/addtaskform.php, (36) tasks/ajax/delete.php, or (37) tasks/ajax/edittask.php in apps/; or administrators for requests that use (38) changepassword.php, (39) creategroup.php, (40) createuser.php, (41) disableapp.php, (42) enableapp.php, (43) lostpassword.php, (44) removegroup.php, (45) removeuser.php, (46) setlanguage.php, (47) setloglevel.php, (48) setquota.php, or (49) togglegroups.php in settings/ajax/.",Multiple cross-site request forgery (CSRF) vulnerabilities,,,ownCloud before 4.0.6,remote attackers,"use (1) addBookmark.php, (2) delBookmark.php, or (3) editBookmark.php in bookmarks/ajax/; (4) calendar/delete.php, (5) calendar/edit.php, (6) calendar/new.php, (7) calendar/update.php, (8) event/delete.php, (9) event/edit.php, (10) event/move.php, (11) event/new.php, (12) import/import.php, (13) settings/setfirstday.php, (14) settings/settimeformat.php, (15) share/changepermission.php, (16) share/share.php, (17) or share/unshare.php in calendar/ajax/; (18) external/ajax/setsites.php, (19) files/ajax/delete.php, (20) files/ajax/move.php, (21) files/ajax/newfile.php, (22) files/ajax/newfolder.php, (23) files/ajax/rename.php, (24) files_sharing/ajax/email.php, (25) files_sharing/ajax/setpermissions.php, (26) files_sharing/ajax/share.php, (27) files_sharing/ajax/toggleresharing.php, (28) files_sharing/ajax/togglesharewitheveryone.php, (29) files_sharing/ajax/unshare.php, (30) files_texteditor/ajax/savefile.php, (31) files_versions/ajax/rollbackVersion.php, (32) gallery/ajax/createAlbum.php, (33) gallery/ajax/sharing.php, (34) tasks/ajax/addtask.php, (35) tasks/ajax/addtaskform.php, (36) tasks/ajax/delete.php, or (37) tasks/ajax/edittask.php in apps/; or administrators for requests that use (38) changepassword.php, (39) creategroup.php, (40) createuser.php, (41) disableapp.php, (42) enableapp.php, (43) lostpassword.php, (44) removegroup.php, (45) removeuser.php, (46) setlanguage.php, (47) setloglevel.php, (48) setquota.php, or (49) togglegroups.php in settings/ajax/",hijack the authentication of arbitrary users for requests
CVE-2015-6567,"Wolf CMS before 0.8.3.1 allows unrestricted file upload and PHP Code Execution because admin/plugin/file_manager/browse/ (aka the filemanager) does not validate the parameter ""filename"" properly. Exploitation requires a registered user who has access to upload functionality.","admin/plugin/file_manager/browse/ (aka the filemanager) does not validate the parameter ""filename"" properly",,,Wolf CMS before 0.8.3.1,,,unrestricted file upload and PHP Code Execution
